Country Name,Code,Schengen,European Union
ÊAustria,AT,Yes,Yes
ÊBelgium,BE,Yes,Yes
Bulgaria,BG,No,Yes
Croatia,HR,No,Yes
Cyprus,CY,No,Yes
ÊCzech Republic,CZ,Yes,Yes
ÊDenmark,DK,Yes,Yes
ÊEstonia,EE,Yes,Yes
ÊFinland,FI,Yes,Yes
ÊFrance,FR,Yes,Yes
ÊGermany,DE,Yes,Yes
ÊGreece,GR,Yes,Yes
ÊHungary,HU,Yes,Yes
Ireland,IE,No,Yes
ÊIceland,IS,Yes,No
ÊItaly,IT,Yes,Yes
ÊLatvia,LV,Yes,Yes
ÊLiechtenstein,LI,Yes,No
ÊLithuania,LT,Yes,Yes
ÊLuxembourg,LU,Yes,Yes
ÊMalta,MT,Yes,Yes
ÊNetherlands,NL,Yes,Yes
ÊNorway,NO,Yes,No
Romania,RO,No,Yes
ÊPoland,PL,Yes,Yes
ÊPortugal,PT,Yes,Yes
ÊSlovakia,SK,Yes,Yes
ÊSlovenia,SI,Yes,Yes
ÊSpain,ES,Yes,Yes
ÊSweden,SE,Yes,Yes
Switzerland,CH,Yes,No
Monaco,MC,Yes,No
San Marino,SM,Yes,No
Vatican City,VA,Yes,No